cfg,is_net,is_trades_day,is_fills_day,is_volume,is_win_rate,is_max_dd,is_sharpe_h,is_bps_vol,oos_net,oos_trades_day,oos_fills_day,oos_volume,oos_win_rate,oos_max_dd,oos_sharpe_h,oos_bps_vol
"{""tp"": 10, ""sl"": 4, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 120, ""vol_k"": 2.0}",-97.31430691300557,434.358253563944,868.716507127888,331591.4724548251,0.3220747889022919,97.31430691300557,-112.36832194034706,-2.934765064751879,-36.10667170297165,274.29754100463333,548.5950820092667,139600.72850684886,0.3610315186246418,36.406631702971936,-78.1410714321324,-2.5864243037385184
"{""tp"": 12, ""sl"": 4, ""entry_exec"": ""taker"", ""tp_exec"": ""taker"", ""side"": ""both"", ""sticky_s"": 120, ""vol_k"": 2.0}",-99.44441152814944,451.1247965241928,902.2495930483856,344395.227330459,0.2950058072009291,99.44441152814944,-111.90479631870184,-2.887508410002707,-36.48214218927024,277.44135236285257,555.66865756526,141401.1671228369,0.3286118980169972,36.78627902247717,-78.7544680039044,-2.5800453370782837
"{""tp"": 6, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 600, ""score_thr"": 0.6, ""regime"": null}",-94.98974957972132,422.831255278773,846.1864650250538,322986.0904491537,0.4931846344485749,94.98974957972132,-138.12485138640426,-2.9409857696232633,-36.65889613840409,273.5115881650785,547.8091291697117,139397.76910880228,0.5287356321839081,36.846730488372486,-89.98799644951205,-2.629805080294449
"{""tp"": 6, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 30, ""score_thr"": 0.6, ""regime"": null}",-94.98974957972132,422.831255278773,846.1864650250538,322986.0904491537,0.4931846344485749,94.98974957972132,-138.12485138640426,-2.9409857696232633,-36.65889613840409,273.5115881650785,547.8091291697117,139397.76910880228,0.5287356321839081,36.84696809531124,-89.98799644950971,-2.629805080294449
"{""tp"": 6, ""sl"": 6, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-94.98974957972132,422.831255278773,846.1864650250538,322986.0904491537,0.4931846344485749,94.98974957972132,-138.12485138640426,-2.9409857696232633,-36.65889613840409,273.5115881650785,547.8091291697117,139397.76910880228,0.5287356321839081,36.84696809531124,-89.98799644950971,-2.629805080294449
"{""tp"": 6, ""sl"": 8, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 30, ""score_thr"": 0.6, ""regime"": null}",-89.95904481414982,428.5947544213586,857.1895088427171,327194.79260146094,0.4987775061124694,89.98733175921734,-116.324132072988,-2.749403317177003,-36.81305648779926,283.7289750792912,567.4579501585824,144399.49807991058,0.4875346260387811,36.86324553087616,-94.1120841834628,-2.5493895046246586
"{""tp"": 8, ""sl"": 6, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""lean_min"": 0.2}",-95.763337891196,451.6487509917006,903.821456450909,344990.3075275591,0.4559164733178654,95.763337891196,-119.47081407498366,-2.7758269088051426,-36.84321260739125,295.5182676726135,591.036535345227,150400.15190268765,0.4893617021276595,37.08230578597431,-90.28026717325706,-2.449679215166595
"{""tp"": 10, ""sl"": 4, ""max_hold_s"": 300, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""long"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": null}",-92.20622941275178,420.2114829412342,840.4229658824684,320795.5840057902,0.2930174563591022,92.23451635781748,-114.36666549062116,-2.8742985879471306,-36.847609478292725,275.869446683743,551.738893367486,140401.4690312308,0.301994301994302,36.96758947829221,-89.48601397976852,-2.6244461494983624
"{""tp"": 8, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 0, ""score_thr"": 0.35, ""regime"": null}",-92.8813896465308,438.0259348364985,876.051869672997,334393.4241813272,0.3827751196172249,92.8813896465308,-125.98899270284129,-2.777608138495128,-36.90264372940874,283.7289750792912,567.4579501585824,144398.7080141307,0.4099722991689751,37.14643989828619,-86.366879856481,-2.5556076115166824
"{""tp"": 6, ""sl"": 4, ""max_hold_s"": null, ""entry_exec"": ""taker"", ""tp_exec"": ""maker"", ""side"": ""both"", ""sticky_s"": 120, ""score_thr"": 0.6, ""regime"": [""no_chase"", 0.2]}",-101.7633355820617,456.8882956667783,913.7765913335566,348791.7568300666,0.4197247706422018,101.7633355820617,-103.98627103382044,-2.917595774249946,-36.96587478838774,280.58516372107186,561.1703274421437,142799.45413070932,0.4649859943977591,37.18684844336895,-75.62165869742887,-2.588656589299815
